   1: This is a file read test file.
   2: Webster University, COSC 1560, Paul Biolchini
   3:                 [blank line]
   4: Test File 1.
   5: This is line 5.
   6: This is line 6.
   7: This is line 7.
   8: This is line 8.
   9: This is line 9.
  10: This is line 10.
  11: This is line 11.
  12: This is line 12.
  13: This is line 13.
  14: This is line 14.
  15: This is line 15.
  16: This is line 16.
  17: This is line 17.
  18: This is line 18.
  19: This is line 19.
  20: This is line 20.
  21: This is line 21.
  22: This is line 22.
  23: This is line 23.
  24: This is line 24. -----
  25: This is line 25.
  26: This is line 26.
  27: This is line 27.
  28: This is line 28.
  29: This is line 29.
  30: This is line 30.
  31: This is line 31.
  32: This is line 32.
  33: This is line 33.
  34: This is line 34.
  35: This is line 35.
  36: This is line 36.
  37: This is line 37.
  38: This is line 38.
  39: This is line 39.
  40: This is line 40.
  41: This is line 41.
  42: This is line 42.
  43: This is line 43.
  44: This is line 44.
  45: This is line 45.
  46: This is line 46.
  47: This is line 47.
  48: This is line 48. ------
  49: This is line 49.
  50: This is line 50.
  51: This is line 51.
  52: This is line 52.
  53: This is line 53.
  54: This is line 54.
  55: This is line 55.
  56: This is line 56.
  57: This is line 57.
  58: This is line 58.
  59: This is line 59.
  60: This is line 60.
  61: This is line 61.
  62: This is line 62.
  63: This is line 63.
  64: This is line 64.
  65: This is line 65.
  66: This is line 66.
  67: This is line 67.
  68: This is line 68.
  69: This is line 69.
  70: This is line 70.
  71: This is line 71.
  72: This is line 72. -----
  73: This is line 73.
  74: This is line 74.
  75: This is line 75.
  76: This is line 76.
  77: This is line 77.
  78: This is line 78.
  79: This is line 79.
  80: This is line 80.
  81: This is line 81.
  82: This is line 82.
  83: This is line 83.
  84: This is line 84.
  85: This is line 85.
  86: This is line 86.
  87: This is line 87.
  88: This is line 88.
  89: This is line 89.
  90: This is line 90.
  91: This is line 91.
  92: This is line 92.
  93: This is line 93.
  94: This is line 94.
  95: This is line 95.
  96: This is line 96. ----
  97: This is line 97.
  98: This is line 98.
  99: This is line 99.
 100: This is line 100.
 101: This is line 101.
 102: This is line 102.
 103: This is line 103.
 104: This is line 104.
 105: This is line 105.
 106: This is line 106.
 107: This is line 107.
 108: This is line 108.
 109: This is line 109.
 110: This is line 110.
 111: This is line 111.
 112: This is line 112.
 113: This is line 113.
 114: This is line 114.
 115: This is line 115.
 116: This is line 116.
 117: This is line 117.
 118: This is line 118.
 119: This is line 119.
 120: This is line 120. ----
 121: This is line 121.
 122: This is line 122.
 123: This is line 123.
 124: This is line 124.
 125: This is line 125.
 126: This is line 126.
 127: This is line 127.
 128: This is line 128.
 129: This is line 129.
 130: This is line 130.
 131: ++++++++++++++++++++++++++++++[End Of File]
 132: 
